Molecule		n_qubits		n_electrons		Hartree-Fock		Exact                   CCSD
LI2             20              6               -14.6370290914181   -14.6666388930832277    -14.66655766883486
BEH2            14              6               -15.5603123428118   -15.5951768689230708    -15.59478311558746
BE              10              4               -14.3518804762020   -14.4036551080676780    -14.40365075175285

LIH_120         12              4               -7.83561582555692   -7.8524308531959184     -7.852424367912315
LIH_134         12              4               -7.85619244370866   -7.8736269871761655     -7.873619264704244
LIH_144         12              4               -7.86226689183345   -7.8805742818026756     -7.880565552937625
LIH_164         12              4               -7.86031308550685   -7.8814587347316616     -7.881447660927777
LIH_174         12              4               -7.85454441654368   -7.8776721965756806     -7.877659678537667
LIH_184         12              4               -7.84663994405421   -7.8721446298836302     -7.872130387058998
LIH_200         12              4               -7.83090558463707   -7.8610877724814987     -7.861069925431224
LIH_220         12              4               -7.80799436927297   -7.8456836231971856     -7.845659248262293
LIH     		12      		4          		-7.8631051703794	-7.8827622010083536     -7.882752274744668


NH3     		16      		10         		-55.4512841321621	-55.5282282288565128    -55.52797423609385
C2      		20      		12         		-74.4208597433128	-74.6907819190908668    -74.67446067281925
H2O_2   		26      		10         		-75.9839420653895	-76.1223672648064138
H2O     		14      		10         		-74.9625475932868	-75.0232914998368443    -75.02314191008794
CO2_116         30              22              -185.0646956822218  -185.276124949791778    -185.2558844174383
CO2             30              22              -184.515800477352   -184.892795318116242

H2_2    		4       		2          		-0.783792654277353	-0.9486411121761857     
H2_054          4               2               -1.07310309277679   -1.0863863728698662     -1.086386413896741
H2_059          4               2               -1.09763171299656   -1.1124603040961527     -1.112460368857182
H2_064          4               2               -1.11129819406478   -1.1278421329637460     -1.127842233783350
H2_068          4               2               -1.11637069975397   -1.1344157590862751     -1.134415859240115
H2_078          4               2               -1.11338782445513   -1.1357266966302220     -1.135726921954722
H2_084          4               2               -1.10438068719335   -1.1297025558704257     -1.129702829857530
H2_095          4               2               -1.07963692821037   -1.1113394177361502     -1.111339417742934
H2_105          4               2               -1.05165675564683   -1.0903421765127623     -1.090342176537082
H2      		4       		2          		-1.11704162813815	-1.1373054123178581     -1.137305568687913

N2_080          20              14              -106.680802456646   -106.766307915623812    -106.7651747506391
N2_090          20              14              -107.187190301040   -107.293075768509623    -107.2913740368769
N2_100          20              14              -107.419532451682   -107.549300957908229    -107.5467229241044
N2_110          20              14              -107.496500511797   -107.654122447524301    -107.6501974087427
N2_140     		20      		14         		-107.357815445291	-107.623174178066747    -107.6116438591137
N2_160          20              14              -107.184846460802   -107.542085765915402    -107.5293516017669
N2_180          20              14              -107.017326907299   -107.483457350613179    -107.5029893803899
N2_200          20              14              -106.871504045608   -107.455155597710515    -107.5569844090029
N2      		20      		14         		-107.491191080281	-107.677371195794791    -107.6716992105486


C               10              6               -37.0895866394329   -37.2187335506355055    -37.14122214761091
B               10              5               -24.1489885988536   -24.1892649171005019    -24.18925814604059

# Thomas
# Molecule n_qubits n_electrons Hartree FCI CCSD
H2      4  2  -1.0661086493179370 -1.1011503302326191 -1.1011503302444794
F2      20 18 -195.6380414586451764 -195.6610863183075253 -195.6610863231110784
HCl     20 18 -455.1359682929376049 -455.1561885225192441 -455.1561885440218020
LiH     12 4  -7.7673621357485567 -7.7844602800312268 -7.7844548259108182
H2O     14 10 -74.9644475827700063 -75.0155301894916136 -75.0154089992356035
CH2     14 8 -37.3753800444692388 -37.5044347182279267 -37.4157036201734599
O2      20 16 -147.5513317948941960 -147.7502345936023289 -147.7027474696617446
BeH2    14 6  -14.4432411484893564 -14.4729474156012046 -14.4727126815932365
H2S     22 18 -394.3113797496120014 -394.3546234515989681 -394.3545557349212913
NH3     16 10 -55.4547926450428577 -55.5211498325971888 -55.5209315426717609
N2      20 14 -107.4989675445838202 -107.6602064200546351 -107.6560799983298153
CH4     18 10 -39.7265817118519777 -39.8062592491501448 -39.8060219425250850
C2      20 12 -74.4208597433128460 -74.6907819190702895 -74.6744606729010627
LiF     20 12 -105.1137095378049224 -105.1661720582638253 -105.1592348490404447
PH3     24 18 -338.6341140342505014 -338.6983999454859031 -338.6981648216360554
LiCl    28 20 -460.8272583068666108 -460.8496181759743422 -460.8475794396237006
Li2O    30 14 -87.7955672142275887 -87.8926932462798050 -87.8855141849657855
C2H4O   38 24 -150.9276087438679497 xxx -151.1204738831108898
C3H6    42 24 -115.6579416717447799 xxx -115.8851227704561637
C2H4O2  48 32 -224.8054009954095989 xxx -225.0508962191899514
